participant,participant_id,piece,condition,window_s,hr_resp_xcorr_peak,hr_resp_lag_s,hf_coherence,resp_rate_hz
P11,11,1,sight_reading,60.0,0.6417805398840069,-1.5,0.6043733468210999,0.4
P11,11,2,sight_reading,60.0,0.4330006242834064,1.5,0.42256386246796007,0.4666666666666667
P11,11,3,self_selected,60.0,0.297516955858476,1.75,0.560489361944942,0.13333333333333333
P12,12,1,sight_reading,60.0,0.40188701013945616,0.0,0.13355028012748127,0.4666666666666667
P12,12,2,sight_reading,60.0,0.40983638141732137,1.5,0.27766662047798657,0.13333333333333333
P12,12,3,self_selected,60.0,0.30170376049143005,-11.0,0.17323685828437546,0.5333333333333333
P13,13,1,sight_reading,60.0,0.2966173791542561,6.25,0.1400967036707129,0.5333333333333333
P13,13,2,sight_reading,60.0,0.19176292680840096,9.5,0.2892737072916975,0.6
P13,13,3,self_selected,60.0,0.31532004551246756,-8.75,0.03634894871973315,0.14035087719298245
P14,14,1,sight_reading,60.0,0.3280972886068304,-8.0,0.2621239610053538,0.4666666666666667
P14,14,2,sight_reading,60.0,0.29296015581946583,-0.25,0.3950621687983452,0.4666666666666667
P14,14,3,self_selected,60.0,0.5362173143715334,2.0,0.41280795992317976,0.4666666666666667
P15,15,1,sight_reading,60.0,0.27709998051941287,14.75,0.3713545855189386,0.2
P15,15,2,sight_reading,60.0,0.24791503450282223,1.0,0.23664809212813706,0.4
P15,15,3,self_selected,60.0,0.28573031977903296,6.0,0.5099982845281329,0.13333333333333333
P16,16,1,sight_reading,60.0,0.4438582840171017,-5.0,0.25622821041986094,0.13333333333333333
P16,16,2,sight_reading,60.0,0.48952916313244,-10.0,0.40081196807522185,0.4
P16,16,3,self_selected,60.0,0.40247290599963875,4.5,0.30692922362490854,0.3333333333333333
P17,17,1,sight_reading,60.0,,,,
P17,17,2,sight_reading,60.0,,,,
P17,17,3,self_selected,60.0,,,,
P18,18,1,sight_reading,60.0,0.452487878219886,2.75,0.4635083668857556,0.13333333333333333
P18,18,2,sight_reading,60.0,0.3628321493853087,-6.0,0.15691988663283013,0.13333333333333333
P18,18,3,self_selected,60.0,0.2509246882163978,-10.75,0.11466443637967522,0.13333333333333333
P19,19,1,sight_reading,60.0,0.4764426703422636,13.25,0.2891376402715363,0.13333333333333333
P19,19,2,sight_reading,60.0,0.36145927339956513,-6.5,0.11243794733086362,0.13333333333333333
P19,19,3,self_selected,60.0,0.5424292028971611,-5.5,0.36221322647785525,0.13333333333333333
P21,21,1,sight_reading,60.0,0.3983527631463463,0.0,0.5249505555587322,0.3333333333333333
P21,21,2,sight_reading,60.0,0.2865578251070145,0.25,0.5563948606865246,0.4
P21,21,3,self_selected,60.0,0.3886960184460414,-11.0,0.47771727118285157,0.13333333333333333
P22,22,1,sight_reading,60.0,0.7390814670267561,2.5,0.24993730064239822,0.13333333333333333
P22,22,2,sight_reading,60.0,0.4061242336940926,2.25,0.08224648287253163,0.13333333333333333
P22,22,3,self_selected,60.0,0.21842680237261222,5.75,0.12930533481983805,0.2
P24,24,1,sight_reading,60.0,0.8583524065544256,0.25,0.5009222249714604,0.3333333333333333
P24,24,2,sight_reading,60.0,0.7128483386303012,-3.0,0.6000061184743347,0.3333333333333333
P24,24,3,self_selected,60.0,0.38250057876364413,-3.0,0.44364614144355674,0.13333333333333333
P25,25,1,sight_reading,60.0,0.6601415163081625,0.0,0.46999303923260555,0.13333333333333333
P25,25,2,sight_reading,60.0,0.19966889157007103,-5.5,0.40022053720033285,0.4666666666666667
P25,25,3,self_selected,60.0,0.44771051816173574,-6.0,0.10134862394314319,0.13333333333333333
P26,26,1,sight_reading,60.0,0.3764625339726859,3.25,0.5807436328504894,0.3333333333333333
P26,26,2,sight_reading,60.0,0.38204032845386376,-1.75,0.28256933984580423,0.4
P26,26,3,self_selected,60.0,0.6484187077428817,10.0,0.16529046112817156,0.13333333333333333
P27,27,1,sight_reading,60.0,0.5165718756429778,2.75,0.5009849055803302,0.13333333333333333
P27,27,2,sight_reading,60.0,0.5608109861129233,3.5,0.524462734766273,0.13333333333333333
P27,27,3,self_selected,60.0,0.4316069862980375,0.0,0.4441804393297543,0.13333333333333333
P28,28,1,sight_reading,60.0,0.2901852276949635,0.0,0.29988342336496215,0.5333333333333333
P28,28,2,sight_reading,60.0,0.27538355768688555,2.25,0.22701656210000892,0.4666666666666667
P28,28,3,self_selected,60.0,0.15185662745772296,0.75,0.0691541444673352,0.3333333333333333
P29,29,1,sight_reading,60.0,0.3964081866789428,0.0,0.20093382158774506,0.5333333333333333
P29,29,2,sight_reading,60.0,0.3923761990946861,2.5,0.3823852589175849,0.13333333333333333
P29,29,3,self_selected,60.0,0.4484699951395263,-12.25,0.22153420940700774,0.13333333333333333
